Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
NOR,1,106.73,2.0,1.0,28.276,32.957,45.497,255.0,259.0,257.0,284.0,True,MEDIUM,2.0,True,McLaren,12,FP1
NOR,1,97.542,3.0,1.0,25.762,29.433,42.347,275.0,267.0,244.0,312.0,True,MEDIUM,3.0,True,McLaren,1,FP1
NOR,1,108.094,6.0,2.0,27.416,31.201,49.477,254.0,148.0,257.0,292.0,False,MEDIUM,6.0,False,McLaren,1,FP1
NOR,1,95.572,10.0,2.0,24.857,28.836,41.879,279.0,274.0,245.0,306.0,True,MEDIUM,10.0,False,McLaren,1,FP1
NOR,1,116.553,11.0,2.0,33.376,33.525,49.652,248.0,261.0,272.0,294.0,False,MEDIUM,11.0,False,McLaren,1,FP1
NOR,1,114.401,12.0,2.0,32.952,33.881,47.568,266.0,255.0,271.0,293.0,False,MEDIUM,12.0,False,McLaren,1,FP1
NOR,1,98.882,15.0,3.0,25.427,29.527,43.928,275.0,260.0,269.0,300.0,False,MEDIUM,15.0,False,McLaren,1,FP1
NOR,1,100.206,16.0,3.0,25.936,29.962,44.308,283.0,273.0,273.0,322.0,False,MEDIUM,16.0,False,McLaren,1,FP1
NOR,1,97.747,17.0,3.0,25.665,29.597,42.485,277.0,263.0,273.0,311.0,False,MEDIUM,17.0,False,McLaren,1,FP1
NOR,1,97.366,18.0,3.0,25.63,29.478,42.258,276.0,262.0,273.0,307.0,False,MEDIUM,18.0,False,McLaren,1,FP1
NOR,1,97.795,19.0,3.0,25.781,29.485,42.529,276.0,266.0,273.0,318.0,False,MEDIUM,19.0,False,McLaren,1,FP1
NOR,1,93.7,22.0,4.0,24.337,28.275,41.088,288.0,272.0,258.0,309.0,True,SOFT,2.0,True,McLaren,1,FP1
NOR,1,125.589,23.0,4.0,33.422,36.51,55.657,207.0,201.0,276.0,273.0,False,SOFT,3.0,True,McLaren,1,FP1
NOR,1,93.745,24.0,4.0,24.43,28.305,41.01,294.0,274.0,258.0,312.0,False,SOFT,4.0,True,McLaren,1,FP1
NOR,1,125.306,25.0,4.0,33.232,40.959,51.115,168.0,150.0,275.0,298.0,False,SOFT,5.0,True,McLaren,1,FP1
